fips,year,pm25
72055,2011,
72055,2012,
72055,2013,
72055,2014,
72055,2015,
72055,2016,
72054,2005,
72054,2006,
72054,2008,
72054,2009,
72054,2010,
72054,2011,
72054,2012,
72054,2013,
72054,2014,
72054,2015,
72054,2016,
72059,2005,
72059,2006,
72059,2008,
72059,2009,
72059,2010,
72059,2011,
72059,2012,
72059,2013,
72059,2014,
72059,2015,
72059,2016,
72065,2005,
72065,2006,
72065,2008,
72065,2009,
72065,2010,
72065,2011,
72065,2012,
72065,2013,
72065,2014,
72065,2015,
72065,2016,
72067,2005,
72067,2006,
72067,2008,
72067,2009,
72067,2010,
72067,2011,
72067,2012,
72067,2013,
72067,2014,
72067,2015,
72067,2016,
72071,2005,
72071,2006,
72071,2008,
72071,2009,
72071,2010,
72071,2011,
72071,2012,
72071,2013,
72071,2014,
72071,2015,
72071,2016,
72073,2005,
72073,2006,
72073,2008,
72073,2009,
72073,2010,
72073,2011,
72073,2012,
72073,2013,
72073,2014,
72073,2015,
72073,2016,
72079,2005,
72079,2006,
72079,2008,
72079,2009,
72079,2010,
72079,2011,
72079,2012,
72079,2013,
72079,2014,
72079,2015,
72079,2016,
72083,2005,
72083,2006,
72083,2008,
72083,2009,
72083,2010,
72083,2011,
72083,2012,
72083,2013,
72083,2014,
72083,2015,
72083,2016,
72091,2005,
72091,2006,
72091,2008,
72091,2009,
72091,2010,
72091,2011,
72091,2012,
72091,2013,
72091,2014,
72091,2015,
72091,2016,
72099,2005,
72099,2006,
72099,2008,
72099,2009,
72099,2010,
72099,2011,
72099,2012,
72099,2013,
72099,2014,
72099,2015,
72099,2016,
72117,2005,
72117,2006,
72117,2008,
72117,2009,
72117,2010,
72117,2011,
72117,2012,
72117,2013,
72117,2014,
72117,2015,
72117,2016,
72115,2005,
72115,2006,
72115,2008,
72115,2009,
72115,2010,
72115,2011,
72115,2012,
72115,2013,
72115,2014,
72115,2015,
72115,2016,
72097,2005,
72097,2006,
72097,2008,
72097,2009,
72097,2010,
72097,2011,
72097,2012,
72097,2013,
72097,2014,
72097,2015,
72097,2016,
72125,2005,
72125,2006,
72125,2008,
72125,2009,
72125,2010,
72125,2011,
72125,2012,
72125,2013,
72125,2014,
72125,2015,
72125,2016,
72131,2005,
72131,2006,
72131,2008,
72131,2009,
72131,2010,
72131,2011,
72131,2012,
72131,2013,
72131,2014,
72131,2015,
72131,2016,
72101,2005,
72101,2006,
72101,2008,
72101,2009,
72101,2010,
72101,2011,
72101,2012,
72101,2013,
72101,2014,
72101,2015,
72101,2016,
72143,2005,
72143,2006,
72143,2008,
72143,2009,
72143,2010,
72143,2011,
72143,2012,
72143,2013,
72143,2014,
72143,2015,
72143,2016,
72145,2005,
72145,2006,
72145,2008,
72145,2009,
72145,2010,
72145,2011,
72145,2012,
72145,2013,
72145,2014,
72145,2015,
72145,2016,
72153,2005,
72153,2006,
72153,2008,
72153,2009,
72153,2010,
72153,2011,
72153,2012,
72153,2013,
72153,2014,
72153,2015,
72153,2016,
72007,2005,
72007,2006,
72007,2008,
72007,2009,
72007,2010,
72007,2011,
72007,2012,
72007,2013,
72007,2014,
72007,2015,
72007,2016,
72123,2005,
72123,2006,
72123,2008,
72123,2009,
72123,2010,
72123,2011,
72123,2012,
72123,2013,
72123,2014,
72123,2015,
72123,2016,
72009,2005,
72009,2006,
72009,2008,
72009,2009,
72009,2010,
72009,2011,
72009,2012,
72009,2013,
72009,2014,
72009,2015,
72009,2016,
72095,2005,
72095,2006,
72095,2008,
72095,2009,
72095,2010,
72095,2011,
72095,2012,
72095,2013,
72095,2014,
72095,2015,
72095,2016,
72015,2005,
72015,2006,
72015,2008,
72015,2009,
72015,2010,
72015,2011,
72015,2012,
72015,2013,
72015,2014,
72015,2015,
72015,2016,
72113,2005,
72113,2006,
72113,2008,
72113,2009,
72113,2010,
72113,2011,
72113,2012,
72113,2013,
72113,2014,
72113,2015,
72113,2016,
72103,2005,
72103,2006,
72103,2008,
72103,2009,
72103,2010,
72103,2011,
72103,2012,
72103,2013,
72103,2014,
72103,2015,
72103,2016,
72105,2005,
72105,2006,
72105,2008,
72105,2009,
72105,2010,
72105,2011,
72105,2012,
72105,2013,
72105,2014,
72105,2015,
72105,2016,
72107,2005,
72107,2006,
72107,2008,
72107,2009,
72107,2010,
72107,2011,
72107,2012,
72107,2013,
72107,2014,
72107,2015,
72107,2016,
72119,2005,
72119,2006,
72119,2008,
72119,2009,
72119,2010,
72119,2011,
72119,2012,
72119,2013,
72119,2014,
72119,2015,
72119,2016,
72109,2005,
72109,2006,
72109,2008,
72109,2009,
72109,2010,
72109,2011,
72109,2012,
72109,2013,
72109,2014,
72109,2015,
72109,2016,
72025,2005,
72025,2006,
72025,2008,
72025,2009,
72025,2010,
72025,2011,
72025,2012,
72025,2013,
72025,2014,
72025,2015,
72025,2016,
72029,2005,
72029,2006,
72029,2008,
72029,2009,
72029,2010,
72029,2011,
72029,2012,
72029,2013,
72029,2014,
72029,2015,
72029,2016,
72037,2005,
72037,2006,
72037,2008,
72037,2009,
72037,2010,
72037,2011,
72037,2012,
72037,2013,
72037,2014,
72037,2015,
72037,2016,
72035,2005,
72035,2006,
72035,2008,
72035,2009,
72035,2010,
72035,2011,
72035,2012,
72035,2013,
72035,2014,
72035,2015,
72035,2016,
72053,2005,
72053,2006,
72053,2008,
72053,2009,
72053,2010,
72053,2011,
72053,2012,
72053,2013,
72053,2014,
72053,2015,
72053,2016,
72041,2005,
72041,2006,
72041,2008,
72041,2009,
72041,2010,
72041,2011,
72041,2012,
72041,2013,
72041,2014,
72041,2015,
72041,2016,
72069,2005,
72069,2006,
72069,2008,
72069,2009,
72069,2010,
72069,2011,
72069,2012,
72069,2013,
72069,2014,
72069,2015,
72069,2016,
72129,2005,
72129,2006,
72129,2008,
72129,2009,
72129,2010,
72129,2011,
72129,2012,
72129,2013,
72129,2014,
72129,2015,
72129,2016,
72133,2005,
72133,2006,
72133,2008,
72133,2009,
72133,2010,
72133,2011,
72133,2012,
72133,2013,
72133,2014,
72133,2015,
72133,2016,
72147,2005,
72147,2006,
72147,2008,
72147,2009,
72147,2010,
72147,2011,
72147,2012,
72147,2013,
72147,2014,
72147,2015,
72147,2016,
72149,2005,
72149,2006,
72149,2008,
72149,2009,
72149,2010,
72149,2011,
72149,2012,
72149,2013,
72149,2014,
72149,2015,
72149,2016,
72151,2005,
72151,2006,
72151,2008,
72151,2009,
72151,2010,
72151,2011,
72151,2012,
72151,2013,
72151,2014,
72151,2015,
72151,2016,
72043,2005,
72043,2006,
72043,2008,
72043,2009,
72043,2010,
72043,2011,
72043,2012,
72043,2013,
72043,2014,
72043,2015,
72043,2016,
72085,2005,
72085,2006,
72085,2008,
72085,2009,
72085,2010,
72085,2011,
72085,2012,
72085,2013,
72085,2014,
72085,2015,
72085,2016,
72087,2005,
72087,2006,
72087,2008,
72087,2009,
72087,2010,
72087,2011,
72087,2012,
72087,2013,
72087,2014,
72087,2015,
72087,2016,
72089,2005,
72089,2006,
72089,2008,
72089,2009,
72089,2010,
72089,2011,
72089,2012,
72089,2013,
72089,2014,
72089,2015,
72089,2016,
72049,2005,
72049,2006,
72049,2008,
72049,2009,
72049,2010,
72049,2011,
72049,2012,
72049,2013,
72049,2014,
72049,2015,
72049,2016,
72077,2005,
72077,2006,
72077,2008,
72077,2009,
72077,2010,
72077,2011,
72077,2012,
72077,2013,
72077,2014,
72077,2015,
72077,2016,
72063,2005,
72063,2006,
72063,2008,
72063,2009,
72063,2010,
72063,2011,
72063,2012,
72063,2013,
72063,2014,
72063,2015,
72063,2016,
72045,2005,
72045,2006,
72045,2008,
72045,2009,
72045,2010,
72045,2011,
72045,2012,
72045,2013,
72045,2014,
72045,2015,
72045,2016,
72047,2005,
72047,2006,
72047,2008,
72047,2009,
72047,2010,
72047,2011,
72047,2012,
72047,2013,
72047,2014,
72047,2015,
72047,2016,
72057,2005,
72057,2006,
72057,2008,
72057,2009,
72057,2010,
72057,2011,
72057,2012,
72057,2013,
72057,2014,
72057,2015,
72057,2016,
72019,2005,
72019,2006,
72019,2008,
72019,2009,
72019,2010,
72019,2011,
72019,2012,
72019,2013,
72019,2014,
72019,2015,
72019,2016,
72075,2005,
72075,2006,
72075,2008,
72075,2009,
72075,2010,
72075,2011,
72075,2012,
72075,2013,
72075,2014,
72075,2015,
72075,2016,
72127,2005,
72127,2006,
72127,2008,
72127,2009,
72127,2010,
72127,2011,
72127,2012,
72127,2013,
72127,2014,
72127,2015,
72127,2016,
72061,2005,
72061,2006,
72061,2008,
72061,2009,
72061,2010,
72061,2011,
72061,2012,
72061,2013,
72061,2014,
72061,2015,
72061,2016,
72137,2005,
72137,2006,
72137,2008,
72137,2009,
72137,2010,
72137,2011,
72137,2012,
72137,2013,
72137,2014,
72137,2015,
72137,2016,
72135,2005,
72135,2006,
72135,2008,
72135,2009,
72135,2010,
72135,2011,
72135,2012,
72135,2013,
72135,2014,
72135,2015,
72135,2016,
72021,2005,
72021,2006,
72021,2008,
72021,2009,
72021,2010,
72021,2011,
72021,2012,
72021,2013,
72021,2014,
72021,2015,
72021,2016,
72033,2005,
72033,2006,
72033,2008,
72033,2009,
72033,2010,
72033,2011,
72033,2012,
72033,2013,
72033,2014,
72033,2015,
72033,2016,
72139,2005,
72139,2006,
72139,2008,
72139,2009,
72139,2010,
72139,2011,
72139,2012,
72139,2013,
72139,2014,
72139,2015,
72139,2016,
72031,2005,
72031,2006,
72031,2008,
72031,2009,
72031,2010,
72031,2011,
72031,2012,
72031,2013,
72031,2014,
72031,2015,
72031,2016,
25013,2000,11.3242398362058
25013,2001,11.7780192933942
25013,2002,11.3912086995915
25013,2003,10.9570960459788
25013,2004,10.0498031196561
25013,2005,10.2017231460665
25013,2006,8.97452662282493
25013,2007,10.1099302956882
25013,2008,9.72063049712643
25013,2009,8.45760806774011
25013,2010,7.51570460709631
25013,2011,8.59879151963864
25013,2012,7.76434013422431
25013,2013,7.87016078325652
25013,2014,7.63657043539174
25013,2015,7.2533089987951
25013,2016,5.81352336524095
25015,2000,9.20553026832498
25015,2001,9.63218498759548
25015,2002,9.38577198655836
25015,2003,9.2154262300483
25015,2004,8.38400783964558
25015,2005,8.35955013841392
25015,2006,7.20534389193131
25015,2007,8.9490119118536
25015,2008,8.25260989696912
25015,2009,7.14864853635872
25015,2010,5.84910206396073
25015,2011,7.15116231742529
25015,2012,6.16481287941916
25015,2013,6.69882885364021
25015,2014,6.53111906804315
25015,2015,5.88747254969278
25015,2016,4.53750025472964
25027,2000,9.45620264129072
25027,2001,10.2763133007586
25027,2002,9.42424110881246
25027,2003,9.22646621407834
25027,2004,8.3357054858143
25027,2005,8.0616992002244
25027,2006,7.01865941426342
25027,2007,8.90988861332195
25027,2008,8.10200105780639
25027,2009,6.88709048541566
25027,2010,6.13255520319877
25027,2011,6.93743270580227
25027,2012,6.03548560816091
25027,2013,6.46766122837639
25027,2014,6.34447857566231
25027,2015,5.99177274633599
25027,2016,4.71672462688402
25003,2000,8.60424618046597
25003,2001,8.89185027511138
25003,2002,8.27362159192714
25003,2003,8.28111703674562
25003,2004,7.47972559036481
25003,2005,7.50867771090892
25003,2006,6.40020541410013
25003,2007,7.54401148429164
25003,2008,7.03181872779753
25003,2009,6.0435775501817
25003,2010,5.36491733548367
25003,2011,5.98268017418519
25003,2012,5.32847216712013
25003,2013,5.92571049224071
25003,2014,5.74857963554056
25003,2015,5.24453430804555
25003,2016,4.03665214843769
25011,2000,8.22369778081373
25011,2001,8.63164090574581
25011,2002,8.75981234542058
25011,2003,8.48241874076387
25011,2004,7.64862086369316
25011,2005,7.83479851076316
25011,2006,6.61130090201195
25011,2007,8.36124154876721
25011,2008,7.65627145572251
25011,2009,6.66236461468343
25011,2010,5.37038694674302
25011,2011,6.81645643443342
25011,2012,5.60099237202783
25011,2013,6.21691046610471
25011,2014,6.26530023200742
25011,2015,5.54868396576649
25011,2016,4.08362973880302
25017,2000,10.845441912783
25017,2001,11.6435261623415
25017,2002,11.2289065467564
25017,2003,10.9165937367682
25017,2004,10.7094645210778
25017,2005,10.415417059713
25017,2006,9.04696236268954
25017,2007,10.1577704358403
25017,2008,9.74198801006725
25017,2009,8.40866084177043
25017,2010,7.96950660415896
25017,2011,8.69596457095157
25017,2012,7.90080664113295
25017,2013,7.50071916639628
25017,2014,7.25681947777241
25017,2015,7.16651081329148
25017,2016,5.9174124098859
25009,2000,9.76598619664177
25009,2001,10.5453298141883
25009,2002,10.4183787568693
25009,2003,10.1451640028752
25009,2004,9.81156310876119
25009,2005,9.67875681928963
25009,2006,8.7870083518734
25009,2007,9.63114150110155
25009,2008,9.07173039811552
25009,2009,7.76614274519672
25009,2010,7.55743144749149
25009,2011,8.29156178081004
25009,2012,7.2218513925627
25009,2013,7.18139740667023
25009,2014,6.80483809001114
25009,2015,6.55515077167187
25009,2016,5.35443774702338
25023,2000,8.81921200684216
25023,2001,9.33635503244404
25023,2002,8.47591452283028
25023,2003,9.08421621487932
25023,2004,8.72058923458412
25023,2005,8.44806950460314
25023,2006,7.79067226317311
25023,2007,8.72770034872368
25023,2008,8.27427921371407
25023,2009,6.85055711588502
25023,2010,6.75699521004261
25023,2011,7.24249611186011
25023,2012,6.57273239069637
25023,2013,6.02739810547056
25023,2014,5.95836399332129
25023,2015,6.06022163047574
25023,2016,4.80897578348615
25021,2000,10.6519231884741
25021,2001,11.0782365713567
25021,2002,10.5808915988332
25021,2003,10.5019185816591
25021,2004,10.2813277455688
25021,2005,9.90120050218017
25021,2006,8.77500827115269
25021,2007,9.86731551565711
25021,2008,9.5869801561032
25021,2009,8.04956397712271
25021,2010,7.60349464335773
25021,2011,8.33804120088174
25021,2012,7.55665828635807
25021,2013,7.09806695580277
25021,2014,6.95596095395575
25021,2015,6.9372156571146
25021,2016,5.71974011633721
25005,2000,9.68477342767365
25005,2001,10.3993689743305
25005,2002,9.19060957757757
25005,2003,9.62027215627208
25005,2004,9.20762148890181
25005,2005,9.03756143755481
25005,2006,8.29723435400234
25005,2007,8.88338335224944
25005,2008,8.44869765228148
25005,2009,7.13320188911185
25005,2010,6.82077485028106
25005,2011,7.59279068215303
25005,2012,6.8328959756686
25005,2013,6.403129819369
25005,2014,6.05500323240711
25005,2015,6.67534129921216
25005,2016,5.2255599061335
25025,2000,11.6273004604546
25025,2001,12.3733052227226
25025,2002,12.1451336858787
25025,2003,11.7335623537119
25025,2004,12.1179232646478
25025,2005,11.572491636971
25025,2006,10.2611365090371
25025,2007,11.2538520590692
25025,2008,10.7712040651415
25025,2009,9.24466919232012
25025,2010,8.7378498313347
25025,2011,9.37577698508805
25025,2012,8.72270270668031
25025,2013,8.10473301554843
25025,2014,7.69146924706794
25025,2015,7.69335329925687
25025,2016,6.39087744399321
25001,2000,8.18036558227379
25001,2001,8.60136215876272
25001,2002,7.39232572541085
25001,2003,7.96816726501738
25001,2004,8.76694799558949
25001,2005,8.10356051964563
25001,2006,7.85646648631642
25001,2007,8.28558042835171
25001,2008,7.49410951412382
25001,2009,6.51605261792038
25001,2010,6.82638955287671
25001,2011,6.77750548606406
25001,2012,6.29810600340765
25001,2013,5.52772736176755
25001,2014,5.35253045790929
25001,2015,5.89203678055589
25001,2016,4.43920300488632
25007,2000,8.44893877664675
25007,2001,8.89780164751965
25007,2002,7.40008718236221
25007,2003,8.50156268350983
25007,2004,8.87667152530364
25007,2005,7.98732220815583
25007,2006,7.99295122892971
25007,2007,8.36055781921523
25007,2008,7.78086346870947
25007,2009,6.64629595973658
25007,2010,6.68295634467783
25007,2011,6.82583515024328
25007,2012,6.45922439968531
25007,2013,5.65946434896633
25007,2014,5.40950901848459
25007,2015,6.15829970788003
25007,2016,4.66537595476122
25019,2000,9.4290539896166
25019,2001,9.62680192681046
25019,2002,8.10688885582818
25019,2003,8.74844449255202
25019,2004,10.8359997982449
25019,2005,9.39822215186225
25019,2006,9.41722621960395
25019,2007,9.6881431007812
25019,2008,8.51238747223004
25019,2009,7.83896399510873
25019,2010,8.30343127835031
25019,2011,8.07401980372036
25019,2012,7.5720588518124
25019,2013,6.46176467806685
25019,2014,5.89754899342855
25019,2015,6.60637258431491
25019,2016,5.13431372829512
44005,2000,9.41921924044353
44005,2001,10.311903884981
44005,2002,8.52940916469082
44005,2003,9.23709987877108
44005,2004,8.97671471579688
44005,2005,8.90056232366148
44005,2006,7.92591950592388
44005,2007,8.50996740361979
44005,2008,8.25084538446828
44005,2009,6.69661294733305
44005,2010,6.4356590054548
44005,2011,7.03787141970455
44005,2012,6.56281822055411
44005,2013,6.1408219299193
44005,2014,5.413901550687
44005,2015,6.66096236762452
44005,2016,4.88335377439577
44007,2000,10.747502301463
44007,2001,11.5942682419771
44007,2002,11.0528903931286
44007,2003,10.6797769611787
44007,2004,10.0549289240672
44007,2005,9.94839071808176
44007,2006,8.86391793776727
44007,2007,9.62764613455199
44007,2008,9.01156049826771
44007,2009,7.69000105879229
44007,2010,7.46933661161887
44007,2011,8.21861876170968
44007,2012,7.29303091580608
44007,2013,7.06213750576559
44007,2014,6.66767833362741
44007,2015,7.05916815551695
44007,2016,5.78104614044794
44009,2000,9.71297045657156
44009,2001,10.8086737214701
44009,2002,9.09769927877236
44009,2003,9.63554740523549
44009,2004,8.99478397923981
44009,2005,8.97385841142548
44009,2006,8.09954967040384
44009,2007,8.85913736276876
44009,2008,8.51276875575079
44009,2009,6.81945297432469
44009,2010,6.58991172281218
44009,2011,6.96745611374248
44009,2012,6.6704750333654
44009,2013,6.53935126108586
44009,2014,5.66911216366244
44009,2015,6.55561804025977
44009,2016,5.10080377275524
44001,2000,9.88778146497564
44001,2001,10.6823347854545
44001,2002,9.46004232689247
44001,2003,9.9393987848657
44001,2004,9.54684409461058
44001,2005,9.41083333217583
44001,2006,8.61311294185529
44001,2007,9.10974394229856
44001,2008,8.77096705864145
44001,2009,7.3730857900221
44001,2010,6.81049856348096
44001,2011,7.67984908561554
44001,2012,6.91282565437665
44001,2013,6.3537851050951
44001,2014,5.81022591192062
44001,2015,7.01623933422988
44001,2016,5.47017702835092
44003,2000,10.1931422653744
44003,2001,11.2626320370015
44003,2002,10.0801365496121
44003,2003,10.1155607684828
44003,2004,9.72311175075263
44003,2005,9.61573935013609
44003,2006,8.47944268642176
44003,2007,9.25762625412815
44003,2008,8.7456833649876
44003,2009,7.26639838581374
44003,2010,7.1501428537577
44003,2011,7.70239783703303
44003,2012,6.96496015807382
44003,2013,6.65361745532014
44003,2014,5.93416944797651
44003,2015,6.74718171569577
44003,2016,5.45722585261692
33011,2000,8.54699741308685
33011,2001,9.41392193480003
33011,2002,8.78309369828577
33011,2003,8.97983328769479
33011,2004,8.02353857107126
33011,2005,8.04016782405349
33011,2006,7.14187989337968
33011,2007,8.53829677318336
33011,2008,7.88004062604225
33011,2009,6.74420309192566
33011,2010,6.24228453190048
33011,2011,7.08909765903332
33011,2012,6.09337527594038
33011,2013,6.33673341706281
33011,2014,6.24572166543858
33011,2015,6.02695169471829
33011,2016,4.49588804946837
33015,2000,8.29718496505628
33015,2001,9.23728228624045
33015,2002,9.04743740287349
33015,2003,8.93357980055958
33015,2004,8.35218428976487
33015,2005,8.19870526179209
33015,2006,7.49047371149434
33015,2007,8.34573207480579
33015,2008,7.93847872617139
33015,2009,6.68853074347438
33015,2010,6.26472702447842
33015,2011,7.35381509599819
33015,2012,5.92613704254027
33015,2013,6.49843483100803
33015,2014,6.18772589657314
33015,2015,6.03070852794163
33015,2016,4.59375891760229
33013,2002,7.65980050658735
33013,2003,7.91423074936622
33013,2004,6.9441847925611
33013,2005,7.09129227325768
33013,2006,6.19687361529796
33013,2007,7.22871943890279
33013,2008,6.76268670748752
33013,2009,5.9080949432823
33013,2010,5.33617889811902
33013,2011,6.34069560741658
33013,2012,5.13789756234835
33013,2013,5.51364374729974
33013,2014,5.59975270430348
33013,2015,5.27122047524196
33013,2016,3.75299714157634
33013,2000,6.9712136135389
33013,2001,7.91662852525753
33009,2000,5.84659668561627
33009,2001,6.42039043831943
33009,2002,6.65286939373239
33009,2003,7.2488902701101
33009,2004,6.35337605641464
33009,2005,6.46350547773783
33009,2006,5.54061071766362
33009,2007,5.8707728143669
33009,2008,5.49327502427571
33009,2009,4.81437499827155
33009,2010,4.93780469731818
33009,2011,5.53682085038507
33009,2012,4.38481647765363
33009,2013,4.8043198141766
33009,2014,4.86662352795675
33009,2015,4.36872995648159
33009,2016,3.26170049051893
33001,2000,6.38139140747856
33001,2001,7.40148472079838
33001,2002,7.3014611595146
33001,2003,7.71084338157339
33001,2004,6.78848918777908
33001,2005,7.0121804129935
33001,2006,5.98312640143824
33001,2007,6.62739072702061
33001,2008,6.27234032662481
33001,2009,5.44773562470572
33001,2010,5.09561124746212
33001,2011,6.12512025784717
33001,2012,4.97925079098766
33001,2013,5.23888769856426
33001,2014,5.28869240211016
33001,2015,4.9423933127115
33001,2016,3.68004112227492
33003,2000,5.70664102715317
33003,2001,6.60343582735713
33003,2002,6.47567804411289
33003,2003,7.08201053878704
33003,2004,6.44025471136201
33003,2005,6.341081093353
33003,2006,5.55248077632607
33003,2007,5.9625092352137
33003,2008,5.5195683365293
33003,2009,4.8305066614153
33003,2010,4.58964717104719
33003,2011,5.49586938377755
33003,2012,4.41844635844196
33003,2013,4.75785057028048
33003,2014,4.65670166874856
33003,2015,4.39917160403858
33003,2016,3.34644711285027
33019,2000,6.21304037526101
33019,2001,6.79331086910985
33019,2002,7.39967679848023
33019,2003,7.26790834999549
33019,2004,6.17687570745742
33019,2005,6.35065519722425
33019,2006,5.55729334032955
33019,2007,6.4268414474761
33019,2008,5.91026247016343
33019,2009,5.00667745840387
33019,2010,4.76701602577455
33019,2011,5.4124749014115
33019,2012,4.43227450071176
33019,2013,4.73417020266802
33019,2014,4.98325346214089
33019,2015,4.57406778315855
33019,2016,3.23151066263971
33005,2000,7.24141898147672
33005,2001,7.83397428139225
33005,2002,7.72483309028632
33005,2003,7.86498473960977
33005,2004,6.6257210262163
33005,2005,6.91458869242603
33005,2006,5.96397227250469
33005,2007,7.40925731856313
33005,2008,6.66689412282715
33005,2009,5.84468777979095
33005,2010,5.111472708753
33005,2011,5.94759217656953
33005,2012,4.99519070385423
33005,2013,5.44320198107368
33005,2014,5.68758843764532
33005,2015,5.25442980887069
33005,2016,3.70692656065751
33007,2000,4.75019692835139
33007,2001,5.23779778308398
33007,2002,5.60043381463998
33007,2003,6.36868542802113
33007,2004,5.75180329665024
33007,2005,5.55881697226203
33007,2006,4.84778590462212
33007,2007,5.1223883692324
33007,2008,4.54180681109424
33007,2009,3.86246180056198
33007,2010,4.16771057931473
33007,2011,4.91113725061261
33007,2012,3.881082002073
33007,2013,4.28249233094777
33007,2014,4.12862922635247
33007,2015,3.70677554520989
33007,2016,2.9059972548847
23031,2000,6.98977434332316
23031,2001,7.96235073223278
23031,2002,7.53666198381395
23031,2003,7.85675464941534
23031,2004,7.06506017617552
23031,2005,7.24996777624817
23031,2006,6.43435476737514
23031,2007,6.88479299775522
23031,2008,6.66097555023925
23031,2009,5.63316137454693
23031,2010,5.32118663913721
23031,2011,6.32172284660212
23031,2012,5.1882911599108
23031,2013,5.47399398911752
23031,2014,5.26926056585116
23031,2015,5.07501289443413
23031,2016,3.86669143320396
33017,2000,7.56894554439427
33017,2001,8.53536087650711
33017,2002,8.20230952174373
33017,2003,8.31526759180613
33017,2004,7.54786925216775
33017,2005,7.77433763629073
33017,2006,6.80659276304823
33017,2007,7.28970049783841
33017,2008,7.16881163094335
33017,2009,6.05197286574913
33017,2010,5.73009474106754
33017,2011,6.75968172544832
33017,2012,5.4777612502322
33017,2013,5.87461036266888
33017,2014,5.56958295305536
33017,2015,5.31430913261475
33017,2016,4.04886681149259
23005,2000,6.99435646442264
23005,2001,7.85553419267396
23005,2002,7.49181389657039
23005,2003,8.03392968172333
23005,2004,7.45051738653324
23005,2005,7.59372814000336
23005,2006,6.61192611727677
23005,2007,6.96011610950116
23005,2008,6.73132454082347
23005,2009,5.75289383350291
23005,2010,5.62242850621105
23005,2011,6.55231858793492
23005,2012,5.48011892858551
23005,2013,5.68979011255985
23005,2014,5.35358710818136
23005,2015,5.16884358191089
23005,2016,4.17617319321225
23023,2000,5.87031482227835
23023,2001,6.95615175262809
23023,2002,6.70033955443979
23023,2003,7.08891515259148
23023,2004,6.34526376106951
23023,2005,6.62158408503701
23023,2006,5.58019235958019
23023,2007,6.0048876292446
23023,2008,5.87710674823587
23023,2009,4.90988118723751
23023,2010,4.93988988697753
23023,2011,5.70847725807748
23023,2012,4.59885565525385
23023,2013,5.25411038484088
23023,2014,4.89664409724582
23023,2015,4.57072305615027
23023,2016,3.65349199706568
23017,2000,5.27485979809338
23017,2001,5.99612749843898
23017,2002,6.21570587891316
23017,2003,6.94685320848108
23017,2004,6.34692670112212
23017,2005,6.21738342425874
23017,2006,5.18645468846903
23017,2007,5.45221038792456
23017,2008,5.26867079231034
