"County"	"County Code"	"Deaths"	"Population"	"Crude Rate"	"Age Adjusted Rate"	"% of Total Deaths"
	"Henry County, AL"	"01067"	3814	304327	1253.3	947.8	0.0%
	"Houston County, AL"	"01069"	17236	1751027	984.3	894.7	0.0%
	"Jackson County, AL"	"01071"	11466	959028	1195.6	1043.4	0.0%
	"Jefferson County, AL"	"01073"	127705	11848682	1077.8	984.9	0.3%
	"Lamar County, AL"	"01075"	3504	266614	1314.3	1001.5	0.0%
	"Lauderdale County, AL"	"01077"	18083	1631805	1108.2	901.5	0.0%
	"Lawrence County, AL"	"01079"	6746	614539	1097.7	1051.7	0.0%
	"Lee County, AL"	"01081"	15667	2420055	647.4	883.0	0.0%
	"Limestone County, AL"	"01083"	11558	1404158	823.1	865.2	0.0%
	"Lowndes County, AL"	"01085"	2473	214046	1155.4	1097.3	0.0%
	"Macon County, AL"	"01087"	4671	392006	1191.6	1075.8	0.0%
	"Madison County, AL"	"01089"	45413	5711502	795.1	833.9	0.1%
	"Marengo County, AL"	"01091"	4575	382441	1196.3	973.1	0.0%
	"Marion County, AL"	"01093"	7157	551316	1298.2	999.1	0.0%
	"Marshall County, AL"	"01095"	18288	1606785	1138.2	1034.5	0.0%
	"Mobile County, AL"	"01097"	73428	7320274	1003.1	988.1	0.2%
	"Monroe County, AL"	"01099"	4634	417600	1109.7	946.6	0.0%
	"Montgomery County, AL"	"01101"	37097	4068324	911.8	925.5	0.1%
	"Morgan County, AL"	"01103"	20815	2090840	995.5	945.3	0.0%
	"Perry County, AL"	"01105"	2583	193641	1333.9	1115.9	0.0%
	"Pickens County, AL"	"01107"	4592	363998	1261.5	1021.4	0.0%
	"Pike County, AL"	"01109"	5675	570092	995.5	1003.0	0.0%
	"Randolph County, AL"	"01111"	5072	406885	1246.5	997.3	0.0%
	"Russell County, AL"	"01113"	10247	953288	1074.9	1073.1	0.0%
	"St. Clair County, AL"	"01115"	13660	1393752	980.1	1005.3	0.0%
	"Shelby County, AL"	"01117"	20354	3250668	626.1	751.1	0.0%
	"Sumter County, AL"	"01119"	2822	250888	1124.8	955.9	0.0%
	"Talladega County, AL"	"01121"	16671	1464961	1138.0	1059.0	0.0%
	"Tallapoosa County, AL"	"01123"	9425	742256	1269.8	999.4	0.0%
	"Tuscaloosa County, AL"	"01125"	28418	3332133	852.8	956.0	0.1%
	"Walker County, AL"	"01127"	17241	1220622	1412.5	1215.2	0.0%
	"Washington County, AL"	"01129"	3321	314975	1054.4	986.2	0.0%
	"Wilcox County, AL"	"01131"	2646	216682	1221.1	1072.2	0.0%
	"Winston County, AL"	"01133"	5416	440460	1229.6	1015.3	0.0%
	"Aleutians East Borough, AK"	"02013"	125	53775	232.5	420.7	0.0%
	"Aleutians West Census Area, AK"	"02016"	249	101024	246.5	735.9	0.0%
	"Anchorage Borough, AK"	"02020"	24459	5086614	480.9	734.7	0.1%
	"Bethel Census Area, AK"	"02050"	1742	305286	570.6	1035.8	0.0%
	"Bristol Bay Borough, AK"	"02060"	123	19294	637.5	938.6	0.0%
	"Denali Borough, AK"	"02068"	95	26123	363.7	729.2	0.0%
	"Dillingham Census Area, AK"	"02070"	542	87972	616.1	953.0	0.0%
	"Fairbanks North Star Borough, AK"	"02090"	7090	1673807	423.6	744.1	0.0%
	"Haines Borough, AK"	"02100"	315	43592	722.6	712.0	0.0%
	"Hoonah-Angoon Census Area, AK"	"02105"	53	6277	844.4	715.9	0.0%
	"Juneau Borough, AK"	"02110"	2824	565275	499.6	701.9	0.0%
	"Kenai Peninsula Borough, AK"	"02122"	6214	968099	641.9	764.0	0.0%
	"Ketchikan Gateway Borough, AK"	"02130"	1638	244797	669.1	805.3	0.0%
	"Kodiak Island Borough, AK"	"02150"	1007	244722	411.5	720.2	0.0%
	"Lake and Peninsula Borough, AK"	"02164"	249	29724	837.7	1207.7	0.0%
	"Matanuska-Susitna Borough, AK"	"02170"	7614	1460858	521.2	793.3	0.0%
	"Nome Census Area, AK"	"02180"	1178	170374	691.4	1077.2	0.0%
	"North Slope Borough, AK"	"02185"	764	156384	488.5	1058.4	0.0%
	"Northwest Arctic Borough, AK"	"02188"	778	134648	577.8	943.6	0.0%
	"Petersburg Borough/Census Area, AK"	"02195"	68	9473	717.8	732.5	0.0%
	"Prince of Wales-Hyder Census Area, AK"	"02198"	150	19100	785.3	1166.7	0.0%
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	458	87366	524.2	781.6	0.0%
	"Sitka Borough, AK"	"02220"	1032	159976	645.1	714.8	0.0%
	"Skagway Municipality, AK"	"02230"	11	3177	346.2	425.2	0.0%
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	258	48607	530.8	634.0	0.0%
	"Southeast Fairbanks Census Area, AK"	"02240"	701	118688	590.6	804.3	0.0%
	"Valdez-Cordova Census Area, AK"	"02261"	962	175679	547.6	816.0	0.0%
	"Wade Hampton Census Area, AK"	"02270"	884	134559	657.0	1239.2	0.0%
	"Wrangell City and Borough, AK"	"02275"	61	7187	848.8	665.5	0.0%
	"Wrangell-Petersburg Census Area, AK"	"02280"	729	93285	781.5	844.0	0.0%
	"Yakutat Borough, AK"	"02282"	65	12171	534.1	650.8	0.0%
	"Yukon-Koyukuk Census Area, AK"	"02290"	940	113667	827.0	993.6	0.0%
	"Apache County, AZ"	"04001"	9982	1264681	789.3	937.2	0.0%
	"Cochise County, AZ"	"04003"	20999	2262328	928.2	776.7	0.0%
	"Coconino County, AZ"	"04005"	12018	2329635	515.9	712.4	0.0%
	"Gila County, AZ"	"04007"	12270	945259	1298.1	899.6	0.0%
	"Graham County, AZ"	"04009"	4963	636987	779.1	848.9	0.0%
	"Greenlee County, AZ"	"04011"	1057	152355	693.8	759.0	0.0%
	"La Paz County, AZ"	"04012"	4171	362989	1149.1	729.9	0.0%
	"Maricopa County, AZ"	"04013"	456721	65854171	693.5	710.6	1.0%
	"Mohave County, AZ"	"04015"	45628	3390447	1345.8	922.9	0.1%
	"Navajo County, AZ"	"04017"	15033	1883708	798.1	873.2	0.0%
	"Pima County, AZ"	"04019"	147371	16938659	870.0	739.8	0.3%
	"Pinal County, AZ"	"04021"	37857	5405461	700.3	667.2	0.1%
	"Santa Cruz County, AZ"	"04023"	4573	791144	578.0	596.8	0.0%
	"Yavapai County, AZ"	"04025"	42955	3596131	1194.5	746.7	0.1%
	"Yuma County, AZ"	"04027"	22509	3334475	675.0	608.2	0.1%
	"Arkansas County, AR"	"05001"	4612	350932	1314.2	1032.1	0.0%
	"Ashley County, AR"	"05003"	4703	402688	1167.9	1003.2	0.0%
	"Baxter County, AR"	"05005"	11877	724566	1639.2	883.1	0.0%
	"Benton County, AR"	"05007"	26258	3666675	716.1	721.7	0.1%
	"Boone County, AR"	"05009"	7352	648134	1134.3	856.4	0.0%
	"Bradley County, AR"	"05011"	2858	211395	1352.0	1016.6	0.0%
	"Calhoun County, AR"	"05013"	1122	98679	1137.0	881.6	0.0%
	"Carroll County, AR"	"05015"	5035	480928	1046.9	826.1	0.0%
	"Chicot County, AR"	"05017"	2987	222459	1342.7	1029.5	0.0%
	"Clark County, AR"	"05019"	4517	414414	1090.0	957.0	0.0%
	"Clay County, AR"	"05021"	4288	293602	1460.5	1017.8	0.0%
	"Cleburne County, AR"	"05023"	6009	453751	1324.3	850.3	0.0%
	"Cleveland County, AR"	"05025"	1723	155335	1109.2	952.6	0.0%
	"Columbia County, AR"	"05027"	5508	446646	1233.2	1000.7	0.0%
	"Conway County, AR"	"05029"	4369	374748	1165.9	921.3	0.0%
	"Craighead County, AR"	"05031"	15014	1668390	899.9	929.9	0.0%
	"Crawford County, AR"	"05033"	9939	1060979	936.8	948.2	0.0%
	"Crittenden County, AR"	"05035"	8986	905100	992.8	1117.8	0.0%
	"Cross County, AR"	"05037"	3911	329292	1187.7	1033.7	0.0%
	"Dallas County, AR"	"05039"	2129	150578	1413.9	1032.4	0.0%
	"Desha County, AR"	"05041"	2961	243561	1215.7	1050.1	0.0%
	"Drew County, AR"	"05043"	3379	335111	1008.3	920.2	0.0%
	"Faulkner County, AR"	"05045"	13638	1898589	718.3	876.1	0.0%
	"Franklin County, AR"	"05047"	3859	323059	1194.5	939.4	0.0%
	"Fulton County, AR"	"05049"	2945	217168	1356.1	894.2	0.0%
	"Garland County, AR"	"05051"	23425	1686111	1389.3	946.9	0.1%
	"Grant County, AR"	"05053"	3154	313455	1006.2	964.0	0.0%
	"Greene County, AR"	"05055"	7850	735568	1067.2	993.0	0.0%
	"Hempstead County, AR"	"05057"	4463	409894	1088.8	943.3	0.0%
	"Hot Spring County, AR"	"05059"	6509	579106	1124.0	949.5	0.0%
	"Howard County, AR"	"05061"	3096	249114	1242.8	1024.4	0.0%
	"Independence County, AR"	"05063"	7148	643730	1110.4	941.7	0.0%
	"Izard County, AR"	"05065"	3417	242532	1408.9	903.0	0.0%
	"Jackson County, AR"	"05067"	4249	322887	1315.9	1065.4	0.0%
	"Jefferson County, AR"	"05069"	15484	1409018	1098.9	1019.6	0.0%
	"Johnson County, AR"	"05071"	4520	444991	1015.8	895.6	0.0%
	"Lafayette County, AR"	"05073"	1936	140257	1380.3	1001.3	0.0%
	"Lawrence County, AR"	"05075"	4185	312263	1340.2	998.3	0.0%
	"Lee County, AR"	"05077"	2367	197163	1200.5	1019.5	0.0%
	"Lincoln County, AR"	"05079"	2327	256626	906.8	889.5	0.0%
	"Little River County, AR"	"05081"	2917	235388	1239.2	1011.8	0.0%
	"Logan County, AR"	"05083"	4976	402485	1236.3	972.3	0.0%
	"Lonoke County, AR"	"05085"	9831	1143781	859.5	959.0	0.0%
	"Madison County, AR"	"05087"	2870	271978	1055.2	930.7	0.0%
	"Marion County, AR"	"05089"	3818	295963	1290.0	856.6	0.0%
	"Miller County, AR"	"05091"	7612	764944	995.1	926.8	0.0%
	"Mississippi County, AR"	"05093"	9712	849955	1142.6	1151.6	0.0%
	"Monroe County, AR"	"05095"	2271	156619	1450.0	1058.5	0.0%
	"Montgomery County, AR"	"05097"	2185	166984	1308.5	885.3	0.0%
	"Nevada County, AR"	"05099"	2158	166169	1298.7	994.8	0.0%
	"Newton County, AR"	"05101"	1657	149916	1105.3	825.6	0.0%
	"Ouachita County, AR"	"05103"	6625	475880	1392.2	1071.8	0.0%
	"Perry County, AR"	"05105"	2145	185829	1154.3	948.9	0.0%
	"Phillips County, AR"	"05107"	5423	410012	1322.6	1194.9	0.0%
	"Pike County, AR"	"05109"	2480	201551	1230.5	952.8	0.0%
	"Poinsett County, AR"	"05111"	5896	445756	1322.7	1163.8	0.0%
	"Polk County, AR"	"05113"	4700	365644	1285.4	950.8	0.0%
	"Pope County, AR"	"05115"	9662	1069289	903.6	881.3	0.0%
	"Prairie County, AR"	"05117"	2024	159962	1265.3	904.9	0.0%
	"Pulaski County, AR"	"05119"	61248	6779345	903.5	899.2	0.1%
	"Randolph County, AR"	"05121"	4039	323077	1250.2	918.8	0.0%
	"St. Francis County, AR"	"05123"	5391	508160	1060.9	1078.7	0.0%
	"Saline County, AR"	"05125"	15678	1810814	865.8	809.5	0.0%
	"Scott County, AR"	"05127"	2254	197249	1142.7	946.2	0.0%
	"Searcy County, AR"	"05129"	1965	145866	1347.1	897.8	0.0%
	"Sebastian County, AR"	"05131"	21250	2200104	965.9	908.5	0.0%
	"Sevier County, AR"	"05133"	2919	297174	982.3	963.9	0.0%
	"Sharp County, AR"	"05135"	4640	310241	1495.6	950.9	0.0%
	"Stone County, AR"	"05137"	2753	218035	1262.6	867.2	0.0%
	"Union County, AR"	"05139"	9969	766191	1301.1	1051.8	0.0%
	"Van Buren County, AR"	"05141"	4082	302861	1347.8	839.5	0.0%
	"Washington County, AR"	"05143"	23570	3466796	679.9	823.5	0.1%
	"White County, AR"	"05145"	13600	1328478	1023.7	945.5	0.0%
	"Woodruff County, AR"	"05147"	2087	138216	1510.0	1111.8	0.0%
	"Yell County, AR"	"05149"	4449	387731	1147.4	973.0	0.0%
	"Alameda County, CA"	"06001"	170584	27088197	629.7	664.0	0.4%
	"Alpine County, CA"	"06003"	149	21339	698.3	713.3	0.0%
	"Amador County, CA"	"06005"	7330	668718	1096.1	737.4	0.0%
	"Butte County, CA"	"06007"	40336	3891540	1036.5	825.8	0.1%
	"Calaveras County, CA"	"06009"	7928	796917	994.8	713.1	0.0%
	"Colusa County, CA"	"06011"	2550	369934	689.3	707.1	0.0%
	"Contra Costa County, CA"	"06013"	126742	18541578	683.6	658.8	0.3%
	"Del Norte County, CA"	"06015"	4915	502591	977.9	915.5	0.0%
	"El Dorado County, CA"	"06017"	23524	3142956	748.5	670.7	0.1%
	"Fresno County, CA"	"06019"	108817	16109944	675.5	779.1	0.2%
	"Glenn County, CA"	"06021"	4308	495152	870.0	815.8	0.0%
	"Humboldt County, CA"	"06023"	22630	2377720	951.8	874.1	0.1%
	"Imperial County, CA"	"06025"	17097	2939937	581.5	671.4	0.0%
	"Inyo County, CA"	"06027"	3770	330311	1141.3	754.9	0.0%
	"Kern County, CA"	"06029"	96029	14181056	677.2	881.3	0.2%
	"Kings County, CA"	"06031"	13984	2610875	535.6	767.9	0.0%
	"Lake County, CA"	"06033"	14355	1133048	1266.9	944.4	0.0%
	"Lassen County, CA"	"06035"	4069	607027	670.3	777.6	0.0%
	"Los Angeles County, CA"	"06037"	1072024	176589074	607.1	669.2	2.4%
	"Madera County, CA"	"06039"	17464	2566040	680.6	753.9	0.0%
	"Marin County, CA"	"06041"	33123	4515423	733.6	547.5	0.1%
	"Mariposa County, CA"	"06043"	3160	319834	988.0	698.2	0.0%
	"Mendocino County, CA"	"06045"	14899	1572221	947.6	777.8	0.0%
	"Merced County, CA"	"06047"	27181	4410116	616.3	783.8	0.1%
	"Modoc County, CA"	"06049"	1940	169029	1147.7	835.3	0.0%
	"Mono County, CA"	"06051"	861	246412	349.4	487.8	0.0%
	"Monterey County, CA"	"06053"	42821	7445393	575.1	629.0	0.1%
	"Napa County, CA"	"06055"	21996	2405710	914.3	701.4	0.0%
	"Nevada County, CA"	"06057"	16806	1743525	963.9	656.7	0.0%
	"Orange County, CA"	"06059"	315954	53800896	587.3	618.9	0.7%
	"Placer County, CA"	"06061"	45469	5826581	780.4	655.7	0.1%
	"Plumas County, CA"	"06063"	4008	361876	1107.6	790.1	0.0%
	"Riverside County, CA"	"06065"	252806	36306299	696.3	721.5	0.6%
	"Sacramento County, CA"	"06067"	180845	24839826	728.0	760.6	0.4%
	"San Benito County, CA"	"06069"	5033	997677	504.5	624.9	0.0%
	"San Bernardino County, CA"	"06071"	220502	35256580	625.4	823.2	0.5%
	"San Diego County, CA"	"06073"	357157	54665674	653.3	672.3	0.8%
	"San Francisco County, CA"	"06075"	106470	14408253	739.0	635.5	0.2%
	"San Joaquin County, CA"	"06077"	85769	11877799	722.1	809.8	0.2%
	"San Luis Obispo County, CA"	"06079"	38690	4756823	813.4	661.1	0.1%
	"San Mateo County, CA"	"06081"	83869	12910827	649.6	575.0	0.2%
	"Santa Barbara County, CA"	"06083"	52722	7529180	700.2	637.7	0.1%
	"Santa Clara County, CA"	"06085"	163912	31642660	518.0	569.1	0.4%
	"Santa Cruz County, CA"	"06087"	30074	4679980	642.6	655.9	0.1%
	"Shasta County, CA"	"06089"	35713	3144100	1135.9	898.9	0.1%
	"Sierra County, CA"	"06091"	674	59093	1140.6	768.6	0.0%
	"Siskiyou County, CA"	"06093"	9661	796354	1213.2	849.0	0.0%
	"Solano County, CA"	"06095"	50433	7434244	678.4	736.7	0.1%
	"Sonoma County, CA"	"06097"	69453	8587373	808.8	682.1	0.2%
	"Stanislaus County, CA"	"06099"	67054	9025208	743.0	828.3	0.1%
	"Sutter County, CA"	"06101"	13020	1618036	804.7	790.6	0.0%
	"Tehama County, CA"	"06103"	11001	1095385	1004.3	834.1	0.0%
	"Trinity County, CA"	"06105"	2732	239907	1138.8	867.4	0.0%
	"Tulare County, CA"	"06107"	50036	7552146	662.5	815.9	0.1%
	"Tuolumne County, CA"	"06109"	10986	993982	1105.3	763.1	0.0%
	"Ventura County, CA"	"06111"	90726	14508263	625.3	645.3	0.2%
	"Yolo County, CA"	"06113"	21026	3476323	604.8	712.9	0.0%
	"Yuba County, CA"	"06115"	9876	1233809	800.4	953.6	0.0%
	"Adams County, CO"	"08001"	43248	7615339	567.9	801.6	0.1%
	"Alamosa County, CO"	"08003"	2146	279751	767.1	857.7	0.0%
	"Arapahoe County, CO"	"08005"	57152	9974146	573.0	677.1	0.1%
	"Archuleta County, CO"	"08007"	1340	209085	640.9	587.0	0.0%
	"Baca County, CO"	"08009"	1111	71279	1558.7	847.4	0.0%
	"Bent County, CO"	"08011"	1121	108342	1034.7	879.1	0.0%
	"Boulder County, CO"	"08013"	27757	5340377	519.8	624.8	0.1%
	"Broomfield County, CO"	"08014"	3975	768770	517.1	625.1	0.0%
	"Chaffee County, CO"	"08015"	2856	314913	906.9	659.1	0.0%
	"Cheyenne County, CO"	"08017"	384	35182	1091.5	719.9	0.0%
	"Clear Creek County, CO"	"08019"	887	165868	534.8	599.7	0.0%
	"Conejos County, CO"	"08021"	1390	148896	933.5	803.7	0.0%
	"Costilla County, CO"	"08023"	671	64654	1037.8	793.5	0.0%
	"Crowley County, CO"	"08025"	778	101993	762.8	835.3	0.0%
	"Custer County, CO"	"08027"	555	72862	761.7	609.8	0.0%
	"Delta County, CO"	"08029"	6094	533998	1141.2	760.9	0.0%
	"Denver County, CO"	"08031"	79519	10699259	743.2	799.0	0.2%
	"Dolores County, CO"	"08033"	337	35156	958.6	723.4	0.0%
	"Douglas County, CO"	"08035"	14473	4669759	309.9	552.8	0.0%
	"Eagle County, CO"	"08037"	1673	877920	190.6	379.9	0.0%
	"Elbert County, CO"	"08039"	1900	405704	468.3	632.5	0.0%
	"El Paso County, CO"	"08041"	64271	10734031	598.8	736.5	0.1%
	"Fremont County, CO"	"08043"	9132	841884	1084.7	851.4	0.0%
	"Garfield County, CO"	"08045"	5148	941849	546.6	710.5	0.0%
	"Gilpin County, CO"	"08047"	455	92903	489.8	705.9	0.0%
	"Grand County, CO"	"08049"	1063	250697	424.0	575.1	0.0%
	"Gunnison County, CO"	"08051"	1155	269928	427.9	633.7	0.0%
	"Hinsdale County, CO"	"08053"	65	14489	448.6	411.0	0.0%
	"Huerfano County, CO"	"08055"	1805	126625	1425.5	888.7	0.0%
	"Jackson County, CO"	"08057"	207	25846	800.9	651.4	0.0%
	"Jefferson County, CO"	"08059"	66049	9651827	684.3	699.6	0.1%
	"Kiowa County, CO"	"08061"	360	26297	1369.0	790.9	0.0%
	"Kit Carson County, CO"	"08063"	1362	146479	929.8	726.7	0.0%
	"Lake County, CO"	"08065"	712	134448	529.6	745.2	0.0%
	"La Plata County, CO"	"08067"	5097	890732	572.2	628.5	0.0%
	"Larimer County, CO"	"08069"	31415	5225574	601.2	640.0	0.1%
	"Las Animas County, CO"	"08071"	3139	272664	1151.2	819.5	0.0%
	"Lincoln County, CO"	"08073"	966	101707	949.8	711.6	0.0%
	"Logan County, CO"	"08075"	3643	391670	930.1	755.4	0.0%
	"Mesa County, CO"	"08077"	23216	2455713	945.4	779.3	0.1%
	"Mineral County, CO"	"08079"	105	13837	758.8	569.1	0.0%
	"Moffat County, CO"	"08081"	1707	238022	717.2	812.8	0.0%
	"Montezuma County, CO"	"08083"	4619	450168	1026.1	847.1	0.0%
	"Montrose County, CO"	"08085"	6720	691809	971.4	723.2	0.0%
	"Morgan County, CO"	"08087"	4470	501503	891.3	771.7	0.0%
	"Otero County, CO"	"08089"	4191	343973	1218.4	907.3	0.0%
	"Ouray County, CO"	"08091"	445	76248	583.6	544.0	0.0%
	"Park County, CO"	"08093"	1327	287543	461.5	573.3	0.0%
	"Phillips County, CO"	"08095"	930	79356	1171.9	693.7	0.0%
	"Pitkin County, CO"	"08097"	796	292670	272.0	326.1	0.0%
	"Prowers County, CO"	"08099"	2315	234966	985.2	866.8	0.0%
	"Pueblo County, CO"	"08101"	27926	2769972	1008.2	844.4	0.1%
	"Rio Blanco County, CO"	"08103"	883	114289	772.6	774.2	0.0%
	"Rio Grande County, CO"	"08105"	2264	215569	1050.2	844.8	0.0%
	"Routt County, CO"	"08107"	1542	400897	384.6	577.0	0.0%
	"Saguache County, CO"	"08109"	779	111022	701.7	707.6	0.0%
	"San Juan County, CO"	"08111"	61	11670	522.7	676.8	0.0%
	"San Miguel County, CO"	"08113"	344	130971	262.7	461.6	0.0%
	"Sedgwick County, CO"	"08115"	688	44812	1535.3	862.2	0.0%
	"Summit County, CO"	"08117"	913	482304	189.3	326.3	0.0%
	"Teller County, CO"	"08119"	2229	403614	552.3	697.3	0.0%
	"Washington County, CO"	"08121"	921	87638	1050.9	707.8	0.0%
	"Weld County, CO"	"08123"	24659	4258691	579.0	723.4	0.1%
	"Yuma County, CO"	"08125"	1837	179099	1025.7	754.9	0.0%
	"Fairfield County, CT"	"09001"	120837	16394845	737.0	637.4	0.3%
	"Hartford County, CT"	"09003"	141871	15881082	893.3	717.9	0.3%
	"Litchfield County, CT"	"09005"	30676	3362887	912.2	698.5	0.1%
	"Middlesex County, CT"	"09007"	25098	2921373	859.1	672.5	0.1%
	"New Haven County, CT"	"09009"	137829	15294293	901.2	728.1	0.3%
	"New London County, CT"	"09011"	40397	4842786	834.2	722.4	0.1%
	"Tolland County, CT"	"09013"	16802	2658973	631.9	654.7	0.0%
	"Windham County, CT"	"09015"	17816	2073656	859.2	789.5	0.0%
	"Kent County, DE"	"10001"	23431	2738510	855.6	847.8	0.1%
	"New Castle County, DE"	"10003"	76086	9538943	797.6	790.4	0.2%
	"Sussex County, DE"	"10005"	36478	3362917	1084.7	783.7	0.1%
	"District of Columbia, DC"	"11001"	94156	10828119	869.6	889.3	0.2%
	"Alachua County, FL"	"12001"	30077	4324480	695.5	790.0	0.1%
	"Baker County, FL"	"12003"	3873	458661	844.4	993.5	0.0%
	"Bay County, FL"	"12005"	28622	2971102	963.3	872.9	0.1%
	"Bradford County, FL"	"12007"	4989	494076	1009.8	893.6	0.0%
	"Brevard County, FL"	"12009"	106669	9534289	1118.8	762.0	0.2%
	"Broward County, FL"	"12011"	272511	31521986	864.5	693.8	0.6%
	"Calhoun County, FL"	"12013"	2739	251602	1088.6	925.0	0.0%
	"Charlotte County, FL"	"12015"	40798	2849348	1431.8	661.0	0.1%
	"Citrus County, FL"	"12017"	40532	2414896	1678.4	837.1	0.1%
	"Clay County, FL"	"12019"	24534	3188382	769.5	845.1	0.1%
	"Collier County, FL"	"12021"	48996	5577421	878.5	518.4	0.1%
	"Columbia County, FL"	"12023"	12548	1153323	1088.0	959.6	0.0%
	"DeSoto County, FL"	"12027"	5329	612446	870.1	706.7	0.0%
	"Dixie County, FL"	"12029"	3406	278211	1224.3	968.2	0.0%
	"Duval County, FL"	"12031"	129627	15251490	849.9	905.6	0.3%
	"Escambia County, FL"	"12033"	53964	5413723	996.8	906.4	0.1%
	"Flagler County, FL"	"12035"	16713	1490143	1121.6	683.9	0.0%
	"Franklin County, FL"	"12037"	2188	199463	1096.9	888.3	0.0%
	"Gadsden County, FL"	"12039"	8203	823662	995.9	951.9	0.0%
	"Gilchrist County, FL"	"12041"	2994	288916	1036.3	861.9	0.0%
	"Glades County, FL"	"12043"	1921	222271	864.3	640.4	0.0%
	"Gulf County, FL"	"12045"	2910	276637	1051.9	900.5	0.0%
	"Hamilton County, FL"	"12047"	2369	255736	926.3	927.2	0.0%
	"Hardee County, FL"	"12049"	3687	488762	754.4	745.8	0.0%
	"Hendry County, FL"	"12051"	5037	681017	739.6	839.9	0.0%
	"Hernando County, FL"	"12053"	42449	2889793	1468.9	822.3	0.1%
	"Highlands County, FL"	"12055"	24776	1718795	1441.5	709.4	0.1%
	"Hillsborough County, FL"	"12057"	165856	21279027	779.4	797.7	0.4%
	"Holmes County, FL"	"12059"	4255	350682	1213.3	1008.9	0.0%
	"Indian River County, FL"	"12061"	31045	2374333	1307.5	667.0	0.1%
	"Jackson County, FL"	"12063"	9774	865794	1128.9	928.7	0.0%
	"Jefferson County, FL"	"12065"	2780	252299	1101.9	883.8	0.0%
	"Lafayette County, FL"	"12067"	1228	146124	840.4	859.1	0.0%
	"Lake County, FL"	"12069"	59737	4978479	1199.9	732.0	0.1%
	"Lee County, FL"	"12071"	105786	10452739	1012.0	636.3	0.2%
	"Leon County, FL"	"12073"	29043	4780032	607.6	760.7	0.1%
	"Levy County, FL"	"12075"	8702	692752	1256.1	951.6	0.0%
	"Liberty County, FL"	"12077"	1100	141828	775.6	922.2	0.0%
	"Madison County, FL"	"12079"	3922	340232	1152.7	957.0	0.0%
	"Manatee County, FL"	"12081"	62151	5652231	1099.6	669.9	0.1%
	"Marion County, FL"	"12083"	74046	5593272	1323.8	810.6	0.2%
	"Martin County, FL"	"12085"	31027	2570935	1206.8	620.6	0.1%
	"Miami-Dade County, FL"	"12086"	334150	44271531	754.8	676.3	0.7%
	"Monroe County, FL"	"12087"	12526	1374281	911.5	737.5	0.0%
	"Nassau County, FL"	"12089"	11571	1241421	932.1	828.8	0.0%
	"Okaloosa County, FL"	"12091"	26969	3305285	815.9	811.8	0.1%
	"Okeechobee County, FL"	"12093"	7300	695482	1049.6	890.5	0.0%
